order_id,exception_type,amount_at_risk,severity,decision,reason
de9330ec1dd0af0751b5c24b612917d0,SETTLEMENT_ANOMALY,19.38,LOW,HUMAN_REVIEW,"Settlement discrepancy requires reconciliation against refunds, fees and adjustments."
bb1af69d9c3122c683d442d8af845410,REFUND_ORDER_MISMATCH,131.62,LOW,HUMAN_REVIEW,Refund status affects customer liability and requires merchant verification.
6a5560b5b974183928205724063cdfa6,SETTLEMENT_ANOMALY,41.75,LOW,HUMAN_REVIEW,"Settlement discrepancy requires reconciliation against refunds, fees and adjustments."
e0f57f06590a2aee981778faa5b7c80c,PAYMENT_ORDER_MISMATCH,425.94,LOW,HUMAN_REVIEW,Payment captured but merchant order is unpaid. Merchant state must be verified.
5346a99f61d771b889336c4a2c14e0b9,PAYMENT_ORDER_MISMATCH,74.72,LOW,HUMAN_REVIEW,Payment captured but merchant order is unpaid. Merchant state must be verified.
0bcc4cc85c24f23e22013fd22f99728f,PAYMENT_ORDER_MISMATCH,195.0,LOW,HUMAN_REVIEW,Payment captured but merchant order is unpaid. Merchant state must be verified.
f489949dbe23cf9313deb342913ece0c,REFUND_ORDER_MISMATCH,1436.46,HIGH,HUMAN_REVIEW,Refund status affects customer liability and requires merchant verification.
5a911c89527605e73569727488b5468d,PAYMENT_ORDER_MISMATCH,120.22,LOW,HUMAN_REVIEW,Payment captured but merchant order is unpaid. Merchant state must be verified.
8bde999dc4ad8ff2e39ca01c02a81119,PAYMENT_ORDER_MISMATCH,55.11,LOW,HUMAN_REVIEW,Payment captured but merchant order is unpaid. Merchant state must be verified.
431edc9c63424518da8f273659cafa77,PAYMENT_ORDER_MISMATCH,122.92,LOW,HUMAN_REVIEW,Payment captured but merchant order is unpaid. Merchant state must be verified.
968daeb20a9a0e6c8433cad2c886756a,SETTLEMENT_ANOMALY,21.34,LOW,HUMAN_REVIEW,"Settlement discrepancy requires reconciliation against refunds, fees and adjustments."
8048f4c2213c7ef433ffc4c00e017c14,WEBHOOK_FAILURE,26.35,LOW,AUTO_APPROVE,Non-monetary reconciliation action is permitted for webhook delivery failures.
55e62ea5906d028721528c19cdd49bb0,WEBHOOK_FAILURE,24.28,LOW,AUTO_APPROVE,Non-monetary reconciliation action is permitted for webhook delivery failures.
73840bb583b69b1d181d54f3f755a4e2,REFUND_ORDER_MISMATCH,203.08,LOW,HUMAN_REVIEW,Refund status affects customer liability and requires merchant verification.
1fab4ac9d85079b3da72a11475ae1685,REFUND_ORDER_MISMATCH,243.01,LOW,HUMAN_REVIEW,Refund status affects customer liability and requires merchant verification.
c00ec2c5d2f145b694e4f478c71c5711,PAYMENT_ORDER_MISMATCH,704.32,MEDIUM,HUMAN_REVIEW,Payment captured but merchant order is unpaid. Merchant state must be verified.
f5218a2401f92542f87b1de5bc3f92ff,SETTLEMENT_ANOMALY,16.66,LOW,HUMAN_REVIEW,"Settlement discrepancy requires reconciliation against refunds, fees and adjustments."
