order_id,exception_type,severity,amount_affected,reason,overall_state,financial_exposure,amount_at_risk,evidence,likely_cause,recommended_action,decision,explanation,recommendation
3db64ce753210d81c49f12e2c3b7bc75,PAYMENT_ORDER_MISMATCH,HIGH,46.69,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,46.69,,,,,,,
23c5d822ecef1bbf136d525d59caddb8,PAYMENT_ORDER_MISMATCH,HIGH,26.09,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,26.09,,,,,,,
dbdd3beb8869ae263445924f3f08a695,PAYMENT_ORDER_MISMATCH,HIGH,154.18,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,154.18,,,,,,,
223a155e5dad113ba43fff75ecbb3d06,PAYMENT_ORDER_MISMATCH,HIGH,68.66,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,68.66,,,,,,,
1d6df969542603d9f097e871bff9a9b7,PAYMENT_ORDER_MISMATCH,HIGH,90.18,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,90.18,,,,,,,
a7d77bb60d2aa33086558ed980891f8c,PAYMENT_ORDER_MISMATCH,HIGH,251.33,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,251.33,,,,,,,
a48666b91822bf899e34f73323d5dc37,PAYMENT_ORDER_MISMATCH,HIGH,39.28,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,39.28,,,,,,,
cc8389c87998ef48d592285b08d5106d,PAYMENT_ORDER_MISMATCH,HIGH,39.09,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,39.09,,,,,,,
c88935c0144ef18368420018e18f177a,PAYMENT_ORDER_MISMATCH,HIGH,48.11,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,48.11,48.11,Refund/order state mismatch; amount affected=₹48.11,Merchant order indicates a refund condition but the refund is still pending.,Verify refund status and reconcile the merchant order with the refund record.,HUMAN_REVIEW,The merchant order indicates a cancellation while the expected refund of ₹48.11 has not completed. This may create an outstanding customer liability.,Verify refund processing status and investigate the outstanding refund.
1e3445e33595212e158a97614da809ae,PAYMENT_ORDER_MISMATCH,HIGH,196.5,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,196.5,,,,,,,
b4facfa718232252607f49c3614e85cf,PAYMENT_ORDER_MISMATCH,HIGH,89.88,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,89.88,,,,,,,
c40cbf2797c3b0187b41ea072dcac55f,PAYMENT_ORDER_MISMATCH,HIGH,1003.42,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,1003.42,,,,,,,
18eb75d1fa1fc1168de2bb0c4aa6dfd6,PAYMENT_ORDER_MISMATCH,HIGH,169.99,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,169.99,,,,,,,
5c5c9fde60ffb741545cf2608e8c12ca,PAYMENT_ORDER_MISMATCH,HIGH,613.78,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,613.78,,,,,,,
6baaa4f22af711c8b15dba8f8269edf8,PAYMENT_ORDER_MISMATCH,HIGH,30.0,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,30.0,,,,,,,
18d436f1bd867f1869bc3a16103a4b75,PAYMENT_ORDER_MISMATCH,HIGH,217.36,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,217.36,,,,,,,
c3665b33e58190870d82a79cc835cc30,PAYMENT_ORDER_MISMATCH,HIGH,114.76,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,114.76,,,,,,,
73d31477d79e7d244fe031d4b2c9c58d,PAYMENT_ORDER_MISMATCH,HIGH,42.77,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,42.77,,,,,,,
3a5cc35f681bd421b9ce2600aa48b4a6,PAYMENT_ORDER_MISMATCH,HIGH,235.23,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,235.23,,,,,,,
f7f4ddbedac13a064aeb2fe0d513cabd,PAYMENT_ORDER_MISMATCH,HIGH,695.99,Payment captured but merchant order is not marked as paid,PAYMENT_CAPTURED_ORDER_UNPAID,695.99,,,,,,,
b3242decb71b67b79f3b2069effcbaa2,SETTLEMENT_ANOMALY,HIGH,60.26100000000002,Settlement amount is lower than the captured payment amount,SETTLEMENT_EXCEPTION,60.26,,,,,,,
ba0bb30d772cfeebd2419935f389cb2e,SETTLEMENT_ANOMALY,HIGH,126.76800000000004,Settlement amount is lower than the captured payment amount,SETTLEMENT_EXCEPTION,126.77,,,,,,,
dbed639a12dc60f5e3c08f284bb686cf,SETTLEMENT_ANOMALY,HIGH,91.593,Settlement amount is lower than the captured payment amount,SETTLEMENT_EXCEPTION,91.59,,,,,,,
d5499e385aef94ea76d2ea5e6a73e60a,SETTLEMENT_ANOMALY,HIGH,24.234,Settlement amount is lower than the captured payment amount,SETTLEMENT_EXCEPTION,24.23,,,,,,,
0616b1a248556f0f4c5aea97beb0729a,SETTLEMENT_ANOMALY,HIGH,50.59199999999999,Settlement amount is lower than the captured payment amount,SETTLEMENT_EXCEPTION,50.59,,,,,,,
